Año,Trimestre,Provincia,Accesos por cada 100 hab
2024,2,Buenos Aires,27.43
2024,2,Capital Federal,47.44
2024,2,Catamarca,17.5
2024,2,Chaco,11.78
2024,2,Chubut,26.46
2024,2,Córdoba,27.79
2024,2,Corrientes,13.53
2024,2,Entre Ríos,20.52
2024,2,Formosa,10.1
2024,2,Jujuy,14.91
2024,2,La Pampa,33.33
2024,2,La Rioja,21.17
2024,2,Mendoza,14.6
2024,2,Misiones,15.72
2024,2,Neuquén,23.49
2024,2,Río Negro,21.95
2024,2,Salta,13.49
2024,2,San Juan,13.03
2024,2,San Luis,29.59
2024,2,Santa Cruz,20.8
2024,2,Santa Fe,25.58
2024,2,Santiago Del Estero,12.33
2024,2,Tierra Del Fuego,32.28
2024,2,Tucumán,15.07
2024,1,Buenos Aires,27.8
2024,1,Capital Federal,48.78
2024,1,Catamarca,17.5
2024,1,Chaco,12.48
2024,1,Chubut,26.02
2024,1,Córdoba,27.77
2024,1,Corrientes,13.68
2024,1,Entre Ríos,20.72
2024,1,Formosa,10.08
2024,1,Jujuy,14.74
2024,1,La Pampa,33.11
2024,1,La Rioja,21.3
2024,1,Mendoza,14.67
2024,1,Misiones,15.46
2024,1,Neuquén,23.66
2024,1,Río Negro,21.88
2024,1,Salta,13.63
2024,1,San Juan,13.15
2024,1,San Luis,29.39
2024,1,Santa Cruz,20.1
2024,1,Santa Fe,25.28
2024,1,Santiago Del Estero,12.26
2024,1,Tierra Del Fuego,32.54
2024,1,Tucumán,14.98
2023,4,Buenos Aires,27.68
2023,4,Capital Federal,47.8
2023,4,Catamarca,17.46
2023,4,Chaco,11.85
2023,4,Chubut,26.04
2023,4,Córdoba,27.76
2023,4,Corrientes,13.84
2023,4,Entre Ríos,20.91
2023,4,Formosa,9.98
2023,4,Jujuy,14.77
2023,4,La Pampa,32.93
2023,4,La Rioja,21.35
2023,4,Mendoza,14.55
2023,4,Misiones,15.33
2023,4,Neuquén,23.78
2023,4,Río Negro,21.61
2023,4,Salta,13.8
2023,4,San Juan,12.75
2023,4,San Luis,29.21
2023,4,Santa Cruz,21.94
2023,4,Santa Fe,25.08
2023,4,Santiago Del Estero,12.18
2023,4,Tierra Del Fuego,32.75
2023,4,Tucumán,15.12
2023,3,Buenos Aires,27.5
2023,3,Capital Federal,47.6
2023,3,Catamarca,17.44
2023,3,Chaco,11.46
2023,3,Chubut,25.82
2023,3,Córdoba,27.57
2023,3,Corrientes,13.9
2023,3,Entre Ríos,20.58
2023,3,Formosa,9.89
2023,3,Jujuy,14.73
2023,3,La Pampa,32.62
2023,3,La Rioja,21.41
2023,3,Mendoza,14.52
2023,3,Misiones,15.12
2023,3,Neuquén,23.8
2023,3,Río Negro,21.04
2023,3,Salta,13.94
2023,3,San Juan,12.85
2023,3,San Luis,28.2
2023,3,Santa Cruz,12.17
2023,3,Santa Fe,24.87
2023,3,Santiago Del Estero,12.08
2023,3,Tierra Del Fuego,31.41
2023,3,Tucumán,15.17
2023,2,Buenos Aires,27.1
2023,2,Capital Federal,47.27
2023,2,Catamarca,17.15
2023,2,Chaco,11.46
2023,2,Chubut,25.28
2023,2,Córdoba,27.59
2023,2,Corrientes,13.79
2023,2,Entre Ríos,19.26
2023,2,Formosa,9.75
2023,2,Jujuy,14.78
2023,2,La Pampa,32.4
2023,2,La Rioja,21.3
2023,2,Mendoza,14.54
2023,2,Misiones,15.03
2023,2,Neuquén,23.5
2023,2,Río Negro,21.09
2023,2,Salta,13.92
2023,2,San Juan,12.1
2023,2,San Luis,26.73
2023,2,Santa Cruz,12.39
2023,2,Santa Fe,24.79
2023,2,Santiago Del Estero,11.7
2023,2,Tierra Del Fuego,31.54
2023,2,Tucumán,15.05
2023,1,Buenos Aires,26.81
2023,1,Capital Federal,50.23
2023,1,Catamarca,16.83
2023,1,Chaco,11.53
2023,1,Chubut,26.32
2023,1,Córdoba,27.2
2023,1,Corrientes,13.71
2023,1,Entre Ríos,19.37
2023,1,Formosa,9.87
2023,1,Jujuy,14.88
2023,1,La Pampa,31.81
2023,1,La Rioja,21.23
2023,1,Mendoza,14.34
2023,1,Misiones,14.7
2023,1,Neuquén,23.38
2023,1,Río Negro,21.27
2023,1,Salta,13.97
2023,1,San Juan,12.67
2023,1,San Luis,25.8
2023,1,Santa Cruz,12.92
2023,1,Santa Fe,24.57
2023,1,Santiago Del Estero,11.8
2023,1,Tierra Del Fuego,30.9
2023,1,Tucumán,14.95
2022,4,Buenos Aires,26.72
