Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2024,2,Buenos Aires,79.84,27.43
2024,2,Capital Federal,116.37,47.44
2024,2,Catamarca,68.81,17.5
2024,2,Chaco,44.06,11.78
2024,2,Chubut,86.33,26.46
2024,2,Córdoba,90.79,27.79
2024,2,Corrientes,51.38,13.53
2024,2,Entre Ríos,68.64,20.52
2024,2,Formosa,39.69,10.1
2024,2,Jujuy,58.3,14.91
2024,2,La Pampa,101.17,33.33
2024,2,La Rioja,79.52,21.17
2024,2,Mendoza,52.3,14.6
2024,2,Misiones,57.73,15.72
2024,2,Neuquén,78.93,23.49
2024,2,Río Negro,71.35,21.95
2024,2,Salta,55.72,13.49
2024,2,San Juan,51.17,13.03
2024,2,San Luis,103.4,29.59
2024,2,Santa Cruz,69.92,20.8
2024,2,Santa Fe,81.34,25.58
2024,2,Santiago Del Estero,49.67,12.33
2024,2,Tierra Del Fuego,108.89,32.28
2024,2,Tucumán,60.84,15.07
2024,1,Buenos Aires,81.1,27.8
2024,1,Capital Federal,119.53,48.78
2024,1,Catamarca,68.82,17.5
2024,1,Chaco,46.7,12.48
2024,1,Chubut,84.89,26.02
2024,1,Córdoba,90.7,27.77
2024,1,Corrientes,51.94,13.68
2024,1,Entre Ríos,69.31,20.72
2024,1,Formosa,39.61,10.08
2024,1,Jujuy,57.65,14.74
2024,1,La Pampa,100.49,33.11
2024,1,La Rioja,80.03,21.3
2024,1,Mendoza,52.59,14.67
2024,1,Misiones,56.76,15.46
2024,1,Neuquén,79.5,23.66
2024,1,Río Negro,71.14,21.88
2024,1,Salta,56.3,13.63
2024,1,San Juan,51.62,13.15
2024,1,San Luis,102.7,29.39
2024,1,Santa Cruz,67.58,20.1
2024,1,Santa Fe,80.4,25.28
2024,1,Santiago Del Estero,49.41,12.26
2024,1,Tierra Del Fuego,109.78,32.54
2024,1,Tucumán,60.48,14.98
2023,4,Buenos Aires,80.96,27.68
2023,4,Capital Federal,117.02,47.8
2023,4,Catamarca,68.63,17.46
2023,4,Chaco,44.35,11.85
2023,4,Chubut,84.96,26.04
2023,4,Córdoba,90.67,27.76
2023,4,Corrientes,52.56,13.84
2023,4,Entre Ríos,69.94,20.91
2023,4,Formosa,39.23,9.98
2023,4,Jujuy,57.78,14.77
2023,4,La Pampa,99.96,32.93
2023,4,La Rioja,80.22,21.35
2023,4,Mendoza,52.15,14.55
2023,4,Misiones,56.27,15.33
2023,4,Neuquén,79.91,23.78
2023,4,Río Negro,70.26,21.61
2023,4,Salta,56.98,13.8
2023,4,San Juan,50.08,12.75
2023,4,San Luis,102.07,29.21
2023,4,Santa Cruz,73.75,21.94
2023,4,Santa Fe,79.75,25.08
2023,4,Santiago Del Estero,49.08,12.18
2023,4,Tierra Del Fuego,110.49,32.75
2023,4,Tucumán,61.04,15.12
2023,3,Buenos Aires,80.64,27.5
2023,3,Capital Federal,116.4,47.6
2023,3,Catamarca,68.55,17.44
2023,3,Chaco,42.87,11.46
2023,3,Chubut,84.23,25.82
2023,3,Córdoba,90.05,27.57
2023,3,Corrientes,52.78,13.9
2023,3,Entre Ríos,68.84,20.58
2023,3,Formosa,38.86,9.89
2023,3,Jujuy,57.61,14.73
2023,3,La Pampa,99.0,32.62
2023,3,La Rioja,80.44,21.41
2023,3,Mendoza,52.03,14.52
2023,3,Misiones,55.51,15.12
2023,3,Neuquén,79.97,23.8
2023,3,Río Negro,68.4,21.04
2023,3,Salta,57.57,13.94
2023,3,San Juan,50.45,12.85
2023,3,San Luis,98.55,28.2
2023,3,Santa Cruz,40.89,12.17
2023,3,Santa Fe,79.09,24.87
2023,3,Santiago Del Estero,48.67,12.08
2023,3,Tierra Del Fuego,105.95,31.41
2023,3,Tucumán,61.26,15.17
2023,2,Buenos Aires,79.67,27.1
2023,2,Capital Federal,115.48,47.27
2023,2,Catamarca,67.42,17.15
2023,2,Chaco,42.87,11.46
2023,2,Chubut,82.49,25.28
2023,2,Córdoba,90.13,27.59
2023,2,Corrientes,52.37,13.79
2023,2,Entre Ríos,64.43,19.26
2023,2,Formosa,38.32,9.75
2023,2,Jujuy,57.78,14.78
2023,2,La Pampa,98.35,32.4
2023,2,La Rioja,80.01,21.3
2023,2,Mendoza,52.09,14.54
2023,2,Misiones,55.18,15.03
2023,2,Neuquén,78.97,23.5
2023,2,Río Negro,68.56,21.09
2023,2,Salta,57.48,13.92
2023,2,San Juan,47.52,12.1
2023,2,San Luis,93.41,26.73
2023,2,Santa Cruz,41.66,12.39
2023,2,Santa Fe,78.83,24.79
2023,2,Santiago Del Estero,47.14,11.7
2023,2,Tierra Del Fuego,106.38,31.54
2023,2,Tucumán,60.75,15.05
2023,1,Buenos Aires,79.0,26.81
2023,1,Capital Federal,122.59,50.23
2023,1,Catamarca,66.17,16.83
2023,1,Chaco,43.15,11.53
2023,1,Chubut,85.89,26.32
2023,1,Córdoba,88.84,27.2
2023,1,Corrientes,52.05,13.71
2023,1,Entre Ríos,64.79,19.37
2023,1,Formosa,38.79,9.87
2023,1,Jujuy,58.2,14.88
2023,1,La Pampa,96.55,31.81
2023,1,La Rioja,79.74,21.23
2023,1,Mendoza,51.4,14.34
2023,1,Misiones,53.97,14.7
2023,1,Neuquén,78.55,23.38
2023,1,Río Negro,69.16,21.27
2023,1,Salta,57.67,13.97
2023,1,San Juan,49.75,12.67
2023,1,San Luis,90.17,25.8
2023,1,Santa Cruz,43.42,12.92
2023,1,Santa Fe,78.13,24.57
2023,1,Santiago Del Estero,47.55,11.8
2023,1,Tierra Del Fuego,104.23,30.9
2023,1,Tucumán,60.34,14.95
2022,4,Buenos Aires,78.94,26.72
2022,4,Capital Federal,122.73,50.35
2022,4,Catamarca,65.77,16.73
2022,4,Chaco,43.62,11.66
2022,4,Chubut,85.57,26.23
2022,4,Córdoba,89.03,27.26
2022,4,Corrientes,51.64,13.6
2022,4,Entre Ríos,64.01,19.14
2022,4,Formosa,39.41,10.03
2022,4,Jujuy,58.46,14.95
2022,4,La Pampa,94.8,31.23
2022,4,La Rioja,79.86,21.26
2022,4,Mendoza,51.36,14.33
2022,4,Misiones,52.85,14.39
2022,4,Neuquén,78.67,23.41
2022,4,Río Negro,68.42,21.04
2022,4,Salta,57.96,14.04
2022,4,San Juan,50.88,12.96
2022,4,San Luis,90.27,25.83
2022,4,Santa Cruz,43.53,12.95
2022,4,Santa Fe,78.4,24.65
2022,4,Santiago Del Estero,48.05,11.92
2022,4,Tierra Del Fuego,101.44,30.07
2022,4,Tucumán,61.04,15.12
2022,3,Buenos Aires,78.11,26.37
2022,3,Capital Federal,122.28,50.22
2022,3,Catamarca,65.33,16.62
