Año,Trimestre,Precio dólar
2014,1,7.601109375
2014,2,8.053861538461538
2014,3,8.292484848484849
2014,4,8.512939393939394
2015,1,8.686859375
2015,2,8.958384615384615
2015,3,9.253030303030304
2015,4,7.987142272727272
2016,1,14.449846153846154
2016,2,14.21953846153846
2016,3,14.943787878787878
2016,4,15.463692307692307
2017,1,15.67446153846154
2017,2,15.737538461538463
2017,3,17.286615384615388
2017,4,17.545384615384616
2018,1,19.679846153846153
2018,2,23.499538461538464
2018,3,31.910461538461536
2018,4,37.106818181818184
2019,1,38.99640625
2019,2,43.866615384615386
2019,3,50.31439393939394
2019,4,59.2430303030303
2020,1,61.39923076923077
2020,2,67.531875
2020,3,73.2030303030303
2020,4,80.0303125
2021,1,88.58796875
2021,2,93.96184615384615
2021,3,97.16363636363637
2021,4,100.52015151515151
2022,1,106.63953125
2022,2,117.940625
2022,3,135.79636363636362
2022,4,162.49507692307694
2023,1,192.87571428571428
2023,2,232.4963076923077
2023,3,313.54061538461536
2023,4,443.60830769230773
2024,1,834.9476712328767
2024,2,885.1630303030304
