Provincia,Año,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
Buenos Aires,2014,6275077.0,4207132.0,485970.0,71325.0,130890.0,11170394.0
Buenos Aires,2015,6336715.0,4645385.0,466696.0,78408.0,106578.0,11633782.0
Buenos Aires,2016,6300766.0,5277254.0,456511.0,82532.0,100036.0,12217099.0
Buenos Aires,2017,5466924.0,6290047.0,494072.0,137895.0,118925.0,12507863.0
Buenos Aires,2018,5643696.0,7480662.0,730038.0,263430.0,105202.0,14223028.0
Buenos Aires,2019,720011.0,2191672.0,669194.0,87111.0,18266.0,3686254.0
Buenos Aires,2020,2624090.0,9280431.0,2997838.0,364785.0,188991.0,15456135.0
Buenos Aires,2021,2244988.0,10257877.0,3737407.0,459467.0,253380.0,16953119.0
Buenos Aires,2022,1408253.0,10964050.0,5576746.0,509124.0,280767.0,18738940.0
Buenos Aires,2023,1031216.0,11109381.0,6721851.0,546777.0,277048.0,19686273.0
Buenos Aires,2024,214055.0,2722466.0,1849476.0,138638.0,64745.0,4989380.0
Capital Federal,2014,1799146.0,3322198.0,70537.0,7706.0,58891.0,5258478.0
Capital Federal,2015,1818354.0,3451297.0,89912.0,8668.0,53068.0,5421299.0
Capital Federal,2016,1787630.0,3544392.0,147958.0,9771.0,47292.0,5537043.0
Capital Federal,2017,2198675.0,3753574.0,146645.0,11482.0,41544.0,6151920.0
Capital Federal,2018,1355032.0,3975141.0,139881.0,14922.0,32290.0,5517266.0
Capital Federal,2019,196938.0,1093143.0,35534.0,3914.0,28576.0,1358105.0
Capital Federal,2020,696825.0,4475869.0,157687.0,16599.0,116540.0,5463520.0
Capital Federal,2021,563056.0,4717425.0,184269.0,22877.0,117925.0,5605552.0
Capital Federal,2022,527325.0,4927772.0,451580.0,21902.0,125338.0,6053917.0
Capital Federal,2023,319962.0,4846735.0,642465.0,18230.0,121366.0,5948758.0
Capital Federal,2024,124210.0,2322256.0,434158.0,8986.0,78700.0,2968310.0
Catamarca,2014,98078.0,774.0,65.0,0.0,177.0,99094.0
Catamarca,2015,102401.0,967.0,61.0,4.0,143.0,103576.0
Catamarca,2016,105782.0,986.0,57.0,4.0,120.0,106949.0
Catamarca,2017,106377.0,5177.0,51.0,4.0,4449.0,116058.0
Catamarca,2018,109209.0,17716.0,61.0,3.0,8854.0,135843.0
Catamarca,2019,22999.0,3318.0,9506.0,261.0,2227.0,38311.0
Catamarca,2020,102651.0,15592.0,61647.0,1105.0,8916.0,189911.0
Catamarca,2021,81419.0,39402.0,88450.0,4851.0,8934.0,223056.0
