Provincia,Año,Accesos por cada 100 hogares,Accesos por cada 100 hab
Buenos Aires,2014,222.4805655251422,67.7650333155422
Buenos Aires,2015,229.1537928280768,69.7982888209853
Buenos Aires,2016,238.0543174986443,72.5077131185148
Buenos Aires,2017,228.08514529649239,73.45953173395921
Buenos Aires,2018,254.4518924049981,82.6721564594616
Buenos Aires,2019,267.6980489943556,87.7543503331884
Buenos Aires,2020,266.1794231858738,88.0725390050363
Buenos Aires,2021,286.4548395465431,95.6832337220374
Buenos Aires,2022,310.7081466115726,104.7823014303558
Buenos Aires,2023,320.27,109.09
Buenos Aires,2024,160.94,55.230000000000004
Capital Federal,2014,454.09475310511,172.44086886157748
Capital Federal,2015,467.382842443365,177.48765528300441
Capital Federal,2016,476.60380342444,180.9899997932191
Capital Federal,2017,477.186352219076,200.78562389550922
Capital Federal,2018,429.489677108128,179.8219450531803
Capital Federal,2019,438.632586867822,182.756934194348
Capital Federal,2020,428.38195618872203,177.6326206267051
Capital Federal,2021,441.10542252684,182.06307482576818
Capital Federal,2022,478.117862691747,196.4579088777046
Capital Federal,2023,471.49,192.9
Capital Federal,2024,235.9,96.22
Catamarca,2014,99.1747705027196,25.19811518901117
Catamarca,2015,102.6661173487153,26.08540362625214
Catamarca,2016,105.0085983883567,26.681264011667942
Catamarca,2017,112.74834767753511,28.681218659790417
Catamarca,2018,130.7924085450376,33.27086251294348
Catamarca,2019,131.6434828302068,33.48672149653615
Catamarca,2020,179.6112283989479,45.68770139260166
Catamarca,2021,209.2018960624622,53.2137237255616
Catamarca,2022,251.7063508356117,64.0274097702424
Catamarca,2023,270.77,68.88
Catamarca,2024,137.63,35.0
Chaco,2014,84.65998513682979,22.59723845743403
Chaco,2015,110.4277696373259,29.47504817557821
Chaco,2016,114.36610215671129,30.52774870804095
Chaco,2017,118.4512690727754,31.66041825631272
Chaco,2018,126.9556943511448,33.932870851607674
Chaco,2019,139.4576471651003,37.27357390987303
Chaco,2020,161.88904538708272,43.2679698266732
Chaco,2021,173.4750936799592,46.3634718362909
Chaco,2022,175.3294800994188,46.8578859441316
Chaco,2023,173.24,46.3
Chaco,2024,90.76,24.259999999999998
Chubut,2014,163.4933735284141,50.0116693507056
Chubut,2015,147.8972360829918,45.240607147145894
Chubut,2016,144.4686910864788,44.1911807839003
Chubut,2017,168.886705150919,51.7728060421251
Chubut,2018,207.6205901681586,63.6448496209304
Chubut,2019,188.6969799515274,57.8418145242122
Chubut,2020,245.3089001217891,75.19264963147221
Chubut,2021,304.5715248228113,93.3553207340337
Chubut,2022,341.1927409383577,104.578678999375
Chubut,2023,337.57,103.46000000000001
Chubut,2024,171.22,52.480000000000004
Corrientes,2014,91.24229574501,23.99791308103262
Corrientes,2015,119.0380478043756,31.30894642496688
Corrientes,2016,122.7088962532986,32.27526410516628
Corrientes,2017,127.0072755351247,33.445429053768095
Corrientes,2018,135.2894302245145,35.62573881477826
Corrientes,2019,150.5433648963054,39.64176290983871
Corrientes,2020,163.21287603944,42.9769485992162
Corrientes,2021,176.61633632861378,46.5052345144625
Corrientes,2022,195.8446351415023,51.5674282526964
Corrientes,2023,209.76,55.24
Corrientes,2024,103.32,27.21
Córdoba,2014,214.8964807359547,65.70643639332779
Córdoba,2015,225.01479556529802,68.8000449884412
Córdoba,2016,228.7716087244376,69.9498105180063
Córdoba,2017,242.266486405919,74.17666958361241
Córdoba,2018,256.1229006266291,78.418168296948
Córdoba,2019,272.6639981378364,83.4814438783168
Córdoba,2020,296.7016257464087,90.8396434878786
Córdoba,2021,324.4994536676583,99.3488892811286
Córdoba,2022,350.5774535631355,107.3368530594847
Córdoba,2023,359.69,110.12
Córdoba,2024,181.49,55.56
Entre Ríos,2014,140.0616723783909,41.8264737017422
Entre Ríos,2015,172.7829020982352,51.5981905706711
Entre Ríos,2016,179.228386429,53.5242009657074
Entre Ríos,2017,184.1399716792124,55.058227190148
Entre Ríos,2018,202.4806016331625,60.5413241559572
Entre Ríos,2019,230.158710925428,68.8160172934537
Entre Ríos,2020,230.32318610748712,68.864118943758
Entre Ríos,2021,247.4344770831537,73.9791056269062
Entre Ríos,2022,255.2809034712316,76.3300912215805
Entre Ríos,2023,268.0,80.12
Entre Ríos,2024,137.95,41.239999999999995
Formosa,2014,70.6864890273839,17.97142566410577
Formosa,2015,74.38521416982199,18.91153055237804
Formosa,2016,76.8998934150256,19.55152593509164
Formosa,2017,82.42892669322839,20.980764748122148
Formosa,2018,110.1516493662068,28.03650639353668
Formosa,2019,120.6796771156967,30.71553540309049
Formosa,2020,125.7607454066531,32.00790103533206
Formosa,2021,134.3750481290819,34.199635763496346
Formosa,2022,161.54568699575128,41.11624202673853
Formosa,2023,155.2,39.49
Formosa,2024,79.3,20.18
Jujuy,2014,75.0893658423829,19.17379615536545
Jujuy,2015,82.7187398512179,21.12106820185598
Jujuy,2016,88.554833605639,22.61236953246541
Jujuy,2017,90.547848568206,23.15616475258943
Jujuy,2018,116.3494301340543,29.75387682227187
Jujuy,2019,180.6203947056569,46.1889064354052
Jujuy,2020,202.0590513399786,51.6701661397705
Jujuy,2021,224.4249401667371,57.3884538483859
Jujuy,2022,232.75462866426778,59.514555353170095
Jujuy,2023,231.37,59.16
Jujuy,2024,115.94999999999999,29.65
La Pampa,2014,205.1872523893594,67.5271694832716
La Pampa,2015,228.93599450367572,75.3454276327226
La Pampa,2016,243.0256971175877,79.9812170463592
La Pampa,2017,266.3525056019604,87.76059883152939
La Pampa,2018,288.0362595971291,94.9039977377605
La Pampa,2019,307.8145957653122,101.4192810892206
La Pampa,2020,312.9007802589439,103.09345910144691
La Pampa,2021,337.7040759797253,111.2646415914991
La Pampa,2022,376.0333253140871,123.88313659106839
La Pampa,2023,393.86,129.76
La Pampa,2024,201.66,66.44
La Rioja,2014,66.31413379348649,17.62249609630504
La Rioja,2015,68.0533008598208,18.08485743439999
La Rioja,2016,67.242296474106,17.87089643312276
La Rioja,2017,135.4326966626066,36.05370250495932
La Rioja,2018,203.5024379496933,54.174036515968
La Rioja,2019,193.96832225977658,51.6350434256285
La Rioja,2020,196.4152917558767,52.2854141016159
La Rioja,2021,281.9692474863129,75.0582918397036
La Rioja,2022,319.434598665645,85.0305833891838
La Rioja,2023,320.40999999999997,85.29
La Rioja,2024,159.55,42.47
Mendoza,2014,128.962922574653,35.94053393519937
Mendoza,2015,129.8388317192527,36.18584046988084
Mendoza,2016,128.4450229128952,35.79789765683712
Mendoza,2017,132.6321754429267,37.01454266895445
Mendoza,2018,149.7934049403725,41.8029727370833
Mendoza,2019,152.7979625132708,42.64052035904474
Mendoza,2020,145.3725322207836,40.56741814051013
Mendoza,2021,173.180505126046,48.3263366388517
Mendoza,2022,200.5152409355834,55.9517103343258
Mendoza,2023,207.67000000000002,57.95
Mendoza,2024,104.89,29.27
Misiones,2014,94.23407380971089,25.62940429683719
Misiones,2015,110.6462905389916,30.09165653024922
Misiones,2016,117.2327009976739,31.88486893048311
Misiones,2017,120.9596261750473,32.94859845899792
Misiones,2018,129.14205886254481,35.17654069264181
Misiones,2019,154.5254605151529,42.08955192317546
Misiones,2020,164.154744008049,44.7112380599272
Misiones,2021,182.82052460664408,49.7940498306704
Misiones,2022,204.71334199772951,55.7475675186704
Misiones,2023,220.93,60.18
Misiones,2024,114.49,31.18
Neuquén,2014,209.5847549741537,62.2751865660856
Neuquén,2015,217.9604259968406,64.7619427920662
Neuquén,2016,235.9407406546547,70.10878436738079
Neuquén,2017,245.00589062737902,72.9362551207888
Neuquén,2018,241.3099679759209,71.8335302504267
Neuquén,2019,245.4537422851896,73.0646518582182
Neuquén,2020,257.9924781330981,76.7944863909318
Neuquén,2021,278.98899625205513,83.0418785970449
Neuquén,2022,313.2330550999272,93.2249179542655
Neuquén,2023,317.4,94.46000000000001
Neuquén,2024,158.43,47.15
Río Negro,2014,181.9231173609689,55.8638746475784
Río Negro,2015,184.1317369780393,56.5421840887803
Río Negro,2016,184.8484151780258,56.7640381356137
Río Negro,2017,189.9446325718743,58.4276356968818
