Column1;Provincia;Velocidad_Promedio;Total_Accesos
18;SAN LUIS;164,01;36408
1;CABA;159,27;5686
0;BUENOS AIRES;110,08;760834
23;TUCUMAN;70,31;24444
22;TIERRA DEL FUEGO;66,86;5203
20;SANTA FE;47,31;191289
2;CATAMARCA;46,49;12961
5;CORDOBA;42,28;195675
15;RIO NEGRO;36,35;40106
12;MENDOZA;36,00;61122
16;SALTA;35,32;39972
14;NEUQUEN;35,10;34502
7;ENTRE RIOS;33,98;67779
3;CHACO;33,83;38141
11;LA RIOJA;30,97;19216
17;SAN JUAN;30,64;25397
21;SANTIAGO DEL ESTERO;29,14;18493
6;CORRIENTES;28,35;27824
9;JUJUY;26,93;19253
13;MISIONES;25,23;40321
4;CHUBUT;24,77;26173
10;LA PAMPA;19,41;39718
19;SANTA CRUZ;18,17;18716
8;FORMOSA;13,81;19155
